"Humidity","Temperature","Air_Pressure","Precipitation"
"91","25.5","101","Light_Rain"
"83","26.7","101.01","Light_Rain"
"77","26.7","101.07","Light_Rain"
"78","26.4","101.14","Light_Rain"
"81","25.3","101.23","Light_Rain"
"77","26.1","101.19","Light_Rain"
"74","26.7","101.17","Moderate_Rain"
"89","24.2","101.19","Light_Rain"
"79","26.7","101.08","Light_Rain"
"84","26.5","100.94","Moderate_Rain"
"87","26.1","100.89","Light_Rain"
"90","25.7","100.95","Light_Rain"
"95","24.9","100.82","Heavy_Rain"
"93","25.3","100.78","Light_Rain"
"89","26.4","100.79","Light_Rain"
"97","24.4","100.86","Heavy_Rain"
"92","25.6","100.8","Violent_Rain"
"93","25.1","100.89","Moderate_Rain"
"85","26.3","100.98","Light_Rain"
"79","26.5","100.98","Light_Rain"
"81","26.8","100.97","Light_Rain"
"85","26.6","100.98","Light_Rain"
"81","27","101.07","Light_Rain"
"81","26.1","101.12","Light_Rain"
"82","26.1","101.19","Light_Rain"
"80","26.4","101.22","Light_Rain"
"77","26.9","101.11","Light_Rain"
"80","26.9","101.15","Light_Rain"
"80","27.4","101.22","Light_Rain"
"82","26.8","101.19","Light_Rain"
"80","27.4","101.14","Light_Rain"
"79","27.3","101.15","Light_Rain"
"84","26.8","101.22","Moderate_Rain"
"96","24.9","101.27","Moderate_Rain"
"91","25.8","101.21","Light_Rain"
"84","27.3","101.2","Light_Rain"
"81","27.5","101.26","Light_Rain"
"79","27.6","101.31","Light_Rain"
"79","27.6","101.22","Light_Rain"
"83","27.3","101.2","Moderate_Rain"
"86","26.9","101.29","Light_Rain"
"83","27.4","101.31","Moderate_Rain"
"84","27.2","101.26","Light_Rain"
"81","27.5","101.21","Light_Rain"
"78","27.9","101.13","Light_Rain"
"81","27.6","101.04","Light_Rain"
"81","27.9","101.04","Light_Rain"
"80","28.1","101.09","Light_Rain"
"84","27.7","101.07","Light_Rain"
"79","28.3","101.09","Light_Rain"
"80","28","101.07","Light_Rain"
"80","28.2","100.99","Light_Rain"
"80","28.4","100.91","Light_Rain"
"81","28.2","100.88","Light_Rain"
"78","28.6","100.81","Light_Rain"
"75","28.7","100.83","Light_Rain"
"75","28.2","100.89","Light_Rain"
"75","28","101.01","Light_Rain"
"71","27.9","101.1","Light_Rain"
"77","27.5","101.03","Light_Rain"
"76","28","101","Light_Rain"
"77","28.2","100.95","Light_Rain"
"73","28.3","100.95","Light_Rain"
"74","27.8","101","Light_Rain"
"73","28.2","101.12","Light_Rain"
"80","27.8","101.27","Light_Rain"
"84","27.2","101.28","Heavy_Rain"
"90","25.8","101.4","Heavy_Rain"
"82","27.6","101.42","Light_Rain"
"78","28.2","101.36","Light_Rain"
"78","28.3","101.22","Light_Rain"
"77","28.2","101.17","Light_Rain"
"74","28.3","101.21","Light_Rain"
"75","28.2","101.18","Light_Rain"
"77","28","101.2","Light_Rain"
"78","28.4","101.17","Light_Rain"
"73","28.9","101.14","Light_Rain"
"72","28.6","101.13","Light_Rain"
"76","28.6","101.12","Light_Rain"
"79","28.5","101.09","Light_Rain"
"82","28.1","101.11","Moderate_Rain"
"82","28.2","101.06","Light_Rain"
"81","28.8","100.98","Light_Rain"
"77","29","100.94","Light_Rain"
"79","28.6","100.93","Light_Rain"
"78","28.7","100.99","Light_Rain"
"75","28.8","101.01","Light_Rain"
"75","29.2","101.01","Light_Rain"
"77","28.7","101.03","Light_Rain"
"78","29","100.99","Light_Rain"
"80","28.4","100.97","Light_Rain"
"84","28.3","100.96","Light_Rain"
"79","28.8","100.94","Light_Rain"
"79","29.1","100.87","Light_Rain"
"84","27.9","100.81","Heavy_Rain"
"91","26.7","100.83","Heavy_Rain"
"91","26.3","100.93","Heavy_Rain"
"81","28.3","100.82","Light_Rain"
"82","28.3","100.61","Light_Rain"
"82","28.7","100.59","Light_Rain"
"86","28.2","100.67","Light_Rain"
"89","27.2","100.79","Light_Rain"
"79","28.2","100.85","Light_Rain"
"79","29.2","100.82","Light_Rain"
"76","29.7","100.8","Moderate_Rain"
"84","27.5","100.9","Light_Rain"
